ISIN,Класс актива,Class,Rating group,Focus/sector/factor
KZ2C00008951,РЕПО,Repo,BBB-,Money market
KZKD00001210,РЕПО,Repo,BBB-,Money market
US46436E7186,ETF,Government bonds,A-,Government
KZKD00001129,Государственные облигации,Government bonds,BBB-,Government
KZ2C00012904,Корпоративные облигации,Corporate bonds,BBB-,Quasi-sovereign
KZ2C00007128,Государственные облигации,Corporate bonds,BBB-,Quasi-sovereign
KZKD00001137,Государственные облигации,Government bonds,BBB-,Government
KZ2D00011863,Корпоративные облигации,Supranational bonds,BBB-,Development Institution
KZKD00001228,Государственные облигации,Government bonds,BBB-,Government
KZKD00000535,Государственные облигации,Government bonds,BBB-,Government
US912797TW79,Государственные облигации,Government bonds,A-,Government
US78462F1030,ETF,Equities,Equities,Large-cap
US688239AF99,Корпоративные облигации,Corporate bonds,BBB-,Industrials
US526057CD41,Корпоративные облигации,Corporate bonds,BBB-,Consumer Discretionary
US4642871762,ETF,Government bonds,A-,Government
US46090E1038,ETF,Equities,Equities,Growth
US81369Y6059,ETF,Equities,Equities,Financials
US0250728773,ETF,Equities,Equities,Small-cap
US78464A6644,ETF,Government bonds,A-,Government
US4642864759,ETF,Equities,Equities,Emerging markets
IE00BSPLC298,ETF,Equities,Equities,Europe
IE00B86MWN23,ETF,Equities,Equities,Europe
IE00BQN1K562,ETF,Equities,Equities,Emerging markets
US8085246804,ETF,Government bonds,A-,Government
